DATE,AQI VALUE,AQ DESCRIPTION,SITE ID,SITE NAME,ANALYTE
20061221,50,GOOD,60251003,EL CENTRO,PM10
20061225,22,GOOD,60251003,EL CENTRO,PM10
20061231,57,MODERATE,60251003,EL CENTRO,PM10
20070106,29,GOOD,60251003,EL CENTRO,PM10
20070112,20,GOOD,60251003,EL CENTRO,PM10
20070116,39,GOOD,60251003,EL CENTRO,PM10
20070124,29,GOOD,60251003,EL CENTRO,PM10
20070130,33,GOOD,60251003,EL CENTRO,PM10
20070205,31,GOOD,60251003,EL CENTRO,PM10
20070211,26,GOOD,60251003,EL CENTRO,PM10
20070217,29,GOOD,60251003,EL CENTRO,PM10
20070223,20,GOOD,60251003,EL CENTRO,PM10
20070301,27,GOOD,60251003,EL CENTRO,PM10
20070307,53,MODERATE,60251003,EL CENTRO,PM10
20070313,55,MODERATE,60251003,EL CENTRO,PM10
20070319,37,GOOD,60251003,EL CENTRO,PM10
20070325,30,GOOD,60251003,EL CENTRO,PM10
20070331,51,MODERATE,60251003,EL CENTRO,PM10
20070406,41,GOOD,60251003,EL CENTRO,PM10
20070412,84,MODERATE,60251003,EL CENTRO,PM10
20070418,25,GOOD,60251003,EL CENTRO,PM10
20070424,19,GOOD,60251003,EL CENTRO,PM10
20070430,49,GOOD,60251003,EL CENTRO,PM10
20070509,29,GOOD,60251003,EL CENTRO,PM10
20070512,23,GOOD,60251003,EL CENTRO,PM10
20070518,48,GOOD,60251003,EL CENTRO,PM10
20070524,38,GOOD,60251003,EL CENTRO,PM10
20070530,43,GOOD,60251003,EL CENTRO,PM10
20070605,123,UNHEALTHY FOR SENSITIVE,60251003,EL CENTRO,PM10
20070617,33,GOOD,60251003,EL CENTRO,PM10
20070623,51,MODERATE,60251003,EL CENTRO,PM10
20070723,53,MODERATE,60251003,EL CENTRO,PM10
20070729,38,GOOD,60251003,EL CENTRO,PM10
20070804,44,GOOD,60251003,EL CENTRO,PM10
20070814,54,MODERATE,60251003,EL CENTRO,PM10
20070816,55,MODERATE,60251003,EL CENTRO,PM10
20070824,71,MODERATE,60251003,EL CENTRO,PM10
20070828,30,GOOD,60251003,EL CENTRO,PM10
20070829,52,MODERATE,60251003,EL CENTRO,PM10
20070903,53,MODERATE,60251003,EL CENTRO,PM10
20070909,40,GOOD,60251003,EL CENTRO,PM10
20070911,42,GOOD,60251003,EL CENTRO,PM10
20070915,53,MODERATE,60251003,EL CENTRO,PM10
20070919,82,MODERATE,60251003,EL CENTRO,PM10
20070921,12,GOOD,60251003,EL CENTRO,PM10
20070927,38,GOOD,60251003,EL CENTRO,PM10
20071003,37,GOOD,60251003,EL CENTRO,PM10
20071009,62,MODERATE,60251003,EL CENTRO,PM10
20071015,33,GOOD,60251003,EL CENTRO,PM10
20071021,70,MODERATE,60251003,EL CENTRO,PM10
20071027,53,MODERATE,60251003,EL CENTRO,PM10
20071102,34,GOOD,60251003,EL CENTRO,PM10
20071108,58,MODERATE,60251003,EL CENTRO,PM10
20071114,25,GOOD,60251003,EL CENTRO,PM10
20071120,72,MODERATE,60251003,EL CENTRO,PM10
20071126,61,MODERATE,60251003,EL CENTRO,PM10
20071202,12,GOOD,60251003,EL CENTRO,PM10
20071208,10,GOOD,60251003,EL CENTRO,PM10
20071214,32,GOOD,60251003,EL CENTRO,PM10
20071220,33,GOOD,60251003,EL CENTRO,PM10
20071226,40,GOOD,60251003,EL CENTRO,PM10
20080101,23,GOOD,60251003,EL CENTRO,PM10
20080107,12,GOOD,60251003,EL CENTRO,PM10
20080113,10,GOOD,60251003,EL CENTRO,PM10
20080119,20,GOOD,60251003,EL CENTRO,PM10
20080125,28,GOOD,60251003,EL CENTRO,PM10
20080131,26,GOOD,60251003,EL CENTRO,PM10
20080206,42,GOOD,60251003,EL CENTRO,PM10
20080212,19,GOOD,60251003,EL CENTRO,PM10
20080218,31,GOOD,60251003,EL CENTRO,PM10
20080224,32,GOOD,60251003,EL CENTRO,PM10
20080301,48,GOOD,60251003,EL CENTRO,PM10
20080307,25,GOOD,60251003,EL CENTRO,PM10
20080313,46,GOOD,60251003,EL CENTRO,PM10
20080319,34,GOOD,60251003,EL CENTRO,PM10
20080325,31,GOOD,60251003,EL CENTRO,PM10
20080331,26,GOOD,60251003,EL CENTRO,PM10
20080406,17,GOOD,60251003,EL CENTRO,PM10
20080412,17,GOOD,60251003,EL CENTRO,PM10
20080418,35,GOOD,60251003,EL CENTRO,PM10
20080424,23,GOOD,60251003,EL CENTRO,PM10
20080430,67,MODERATE,60251003,EL CENTRO,PM10
20080506,29,GOOD,60251003,EL CENTRO,PM10
20080512,38,GOOD,60251003,EL CENTRO,PM10
